review_id,review_text,hotel_name,prefecture,overall_score,service_score,location_score,room_score,amenities_score,bathroom_score,food_score
voteans_20847912,里帰り出産をした娘の子どもに会うために、90代の両親と姉夫婦が、訪ねてきたので、日頃の感謝と、敬老の日の感謝を込めて、つがる富士見荘の宿泊をプレゼントしました。お風呂も景色も良く、食事も美味しく父も完食したと話しておりました。特に、旅館のみなさまの接客態度がとても良かったと嬉しそうに話してくれました。長旅の疲れが出たのか、翌朝粗相をしてしまった父に、優しい言葉をかけて頂いたと、母も姉も感激しておりました。ご迷惑をおかけして申し訳ありませんでした。そのうえ優しい言葉と態度で接していただき、ありがとうございました。ひ孫の顔を見れて、素敵なお宿に泊まれて、とても楽しい旅だったと喜んでおりました。本当にありがとうございました。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,5,5,5
voteans_20806761,家族、友人夫妻と宿泊しました。舞橋と岩木山の景観が美しく、ロケーションの素晴らしいお宿でした。設備や食事はまあこんなもんだろうという感じですが、癒し旅行には爽やか感覚が味わえていいところでした。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,4,5,4,4,4,3
voteans_20779999,宿の方が親しみやすく素敵です。吉永小百合さんのサインを見せていただきました。ロビーから眺める鶴の舞橋が特に素敵です。宿の方によると、長い時間ロビーのソファに座って眺めている人がいるというお話でしたが、なるほどと思うような絶景です。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,4,5,5,4,3,3
voteans_20671636,部屋から橋が見えてよかったんですが当日あいにくの曇りで岩木山が見えづ残念でした。さてお湯が少々熱くもう少し私には低いほうがよかったかなーでも満足しました今度は雪景色かその前の紅葉シーズンが眺望もいいかも,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,3,4,3,3,4,3
voteans_20670739,7月21日宿泊しました。橋が綺麗で景色は良かったです。岩木山が雲の中で残念でした。風呂は蒸し暑く、長湯は出来ませんでした。露天風呂があればと思ってしまうのは私だけかな？料理も旨かったです。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,3,3,5,4,2,2,3
voteans_20637282,温泉があったまる。汗がいっぱい。健康になった感じ。眺めがいい、最高。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,4,4,5,4,5,4
voteans_20579101,ロケーション最高食事も最高,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,4,4,4,5
voteans_20573882,ロビーからの鶴の舞橋が目に飛び込む絶景に感動！夕食のほやの水物と海鮮鍋のスープが美味くて飲み干してしまいました。シングルのお部屋もコンパクトながら狭苦しくはなく清潔で綺麗。鶴田駅からの無料送迎も有難く、スタッフさんは優しく感じの良い方ばかり,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,5,5,3,3,4,4
voteans_20569835,鶴の舞橋の目の前。ロビーからの景色最高です。ありがとうございました。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,5,5,5
voteans_20541449,6月4日(日)妻と二人で宿泊当方の結論は「すばらしく好印象」の一言です。以下経営のご参考までに記します。好感と思った点①立地です。この景観は全国指折りだと思います。→快晴で低湿度(乾燥)でしたので、岩木山の山頂までくっきり見えた事を嬉しく思います。②泉質→津軽地方の泉質はどこも高評価ですが、ここも高いレベルだと思います。地元の方の日帰り入浴者も多数おられました。③従業員の人間性の良さ(個人的感想)④揚げたての天ぷら⑤瓶ビールの冷え具合、そして銘酒「豊盃」の廉価。⑥静寂→この自然環境、空気の美味しさは「心が綺麗」になります。マナー違反のお客もいませんでした。マイナスではないが、あえて一言①メニュー表と違う食材→仕入れの問題もあったかと存じますが、記載は「北寄貝」、実際は「ほや」でした。当方ホヤもホッキもは大好物ですが、妻はホッキは好物、ホヤは苦手でしたので、がっかり感があったようです。②ひげそり後の保湿クリーム類→日帰り客も多いので脱衣場に置いておけないと思うので、宿泊客用に部屋置きか個包装の物を、もしくは希望者配付制をご用意頂けたら良いのではないかと思いました。当方、47都道府県を観光制覇しており多くの宿泊施設を利用しましたが、その中でもＴＯＰ10に入る好印象であると断言できます。これからの貴荘のますますのご繁栄を期待し、御礼と老婆心ながらの提案を記します。また、お伺いしたい宿泊施設であると付け加えます。ありがとうございました。追伸カメラ購入予定のお嬢さん。良いカメラに出合ってくださいね。応援しています。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,4,5,5,3,4,4
voteans_20505829,従業員の教育が非常に良い！,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,3,5,4
voteans_20491447,部屋から鶴の舞橋が綺麗に見れて景色もお部屋も綺麗でした！部屋の照明がもう少し明るいといいかな？と思います。無料送迎のお電話した時の対応が凄く腹が立ちました。「◯時ごろにお願いしたいのですが…」とお伝えした所、「何で来るのか」と聞かれ、「電車で行きます」と伝えると「そうじゃなくて、何できますか？」のリピート…。「送迎車はあなた一人だけではなく他のお客さんも乗せるので、ちゃんと調べてから、また電話して下さい」と言われました。他社の口コミサイト見ても同じ目に合ってる人多かったですよ。行く前から嫌な気持ちになりました。キャンセルしようか凄く迷うぐらい夕食時も恐らくその方対応して下さったのですが、飲み物が有料ならその説明して頂かないと困ります。リフレッシュしに来たはずなのにその方のせいで台無しでした。他の社員さんは対応良かったです。嫌なコメントばかり書きすみませんあまりにも腹が立ったのでこの評価となります。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,2,1,5,4,4,4,4
voteans_20476565,ホテルロビーからは、目の前に鶴の舞橋を眺めることができ最高のロケーションです。夕食後、朝食前と鶴の舞橋に散歩に行くことが出来て、天気もよく岩木山、八甲田山共に楽しめました。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,5,5,3,3,4,4
voteans_20402871,予定していなかった夜桜見物に急遽出かけために、夕食の時間に間に合わずにすみませんでした。部屋にわざわざ配膳したていただき、美味しくいただくことができました。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,4,5,4,4,5,5
voteans_20375958,温泉の泉質が良く、食事は美味しく満足しました。展望風呂が休業とのことでこの点が心残りです。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,4,4,4,4,4,5
voteans_20319383,雪景色に佇む鶴舞橋を見たくて宿泊。ロビーからは、目の前にドーンと鶴舞橋と岩木山が見え、圧巻の風景が広がっていた。レストランからも浴室からも見る事ができる。温泉は期待していなかったが、本物の源泉かけ流し温泉で良く温まる。翌朝は早起きし、午前4時から開いている風呂に入ってから、雪景色の中のご来光と、鶴舞橋と岩木山を見るために出かけた。宿から徒歩で10分程で橋のたもとに到着し、木造三連橋を渡りぐるっと公園を1周し、真っ白な雪景色の中の朝陽に染まる鶴舞橋を写真に収める事ができた。湖の傍では飼育されている丹頂鶴が居るが，鶴舞橋では時折白鳥の鳴き声が響き降り立つ姿が見られる。桜の季節も良いだろう。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,3,5,3,3,4,3
voteans_20274664,鶴の舞橋を見るためにこちらに宿泊しました。部屋からは鶴の舞橋と岩木山が本当に綺麗に見えました。部屋も広く清潔でした。食事は夕朝食ともに食べきれないほど種類豊富で美味しかったです。帆立のみそ汁を初めていただき嬉しかったです。お風呂は部屋にあった案内を見て展望風呂を探しましたが、閉鎖中と後で知りました。スタッフはみなさん感じ良く、ぜひまた再訪したいと思うお宿でした。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,4,5,5,3,4,4
voteans_20251733,ビジネスでの宿泊。部屋から見える鶴の舞橋は、夕方・夜・早朝で違う景色のように感じ、仕事を忘れるほどの美しさだった。親しみのある接客、美味しいご飯、清潔感のある館内、どれも価格以上の満足感を得られるものだった。機会があれば、また是非利用したいと思う。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,4,4,5
voteans_20157735,１月の大寒波の中宿泊しました。雪化粧をした鶴の舞橋は本当に綺麗で、特に早朝の岩木山と鶴の舞橋の２ショットは圧巻でした。鶴の舞橋目的で宿を探しましたが、なんと料理が美味しくてびっくり！接客の方々も、ほっこり温まるとてもあたたかい接客で、身も心も幸せな気持ちになりました。温泉はナトリウム炭酸水素塩泉で、お肌もしっとり、湯上がり後も体がポカポカしていました。今回は残念ながら鶴の舞橋側ではない客室でしたが、きっと反対側のお部屋なら窓から素敵な景色が見えるんだろうな・・・とても穴場の素敵なお宿さんでした。今度は鶴の舞橋側で泊まってみたいです！,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,4,5,5
voteans_20155650,部屋が広く、岩木山と鶴の舞い橋が見え良かった。しかし、エアコンの調子が悪いのか最後まで十分に温まらなかったのが残念。食事は全体的にしょっぱい。夕食にコーヒーが欲しかった。朝はコーヒーとおいしいりんごジュースがついていて良かった。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,3,4,5,2,4,3,4
voteans_20107470,部屋から鶴の舞橋が見えて最高でした！食事も大変美味しく満足できました大浴場も良かったです,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,4,5,5
voteans_21286020,朝食がおもくなく、手軽でビジネスには、ほんと手ごろなホテルです！,スーパーホテル青森,aomori,5,4,5,4,5,4,5
voteans_21279866,部屋も綺麗で満足しました。立地もいいところです。ただ駐車場が近隣の立体駐車場ですので、使う方は注意,スーパーホテル青森,aomori,4,4,4,4,4,4,4
voteans_21271638,お部屋おまかせだったが、ベッドも広くテーブルも広く満足です。無料の朝食も満足。どの係の過多も丁寧な対応でした。トイレ、洗面が狭かったが、お値段を考えると許せます。,スーパーホテル青森,aomori,5,5,5,5,5,2,5
voteans_21229768,朝食もついてきて、コスパ抜群でした！,スーパーホテル青森,aomori,5,5,4,5,5,5,4
voteans_21221176,部屋は広く朝ご飯もそれなりに満足でしたが、自由に飲めるお酒は写真の様なものではなかったです…。お風呂に髪の毛が落ちていたのもマイナスポイントです。,スーパーホテル青森,aomori,4,4,4,3,4,2,4
voteans_21207882,快適に過ごせました枕を選べたりアメニティが充実していて良かったですまた利用させていただきます,スーパーホテル青森,aomori,4,3,4,3,4,3,3
voteans_21202226,お部屋のお風呂しかなかったので、残念でした。,スーパーホテル青森,aomori,3,3,4,3,3,2,3
voteans_21196981,お部屋に広いテーブルがあり、持込みのごはんを食べたり、書き物をするのに便利でした。女性のアメニティが万全で、今回持って行くのを忘れてしまったのですが現地で買わずに済み、更にバックまでできて大満足です。ロビーでは無料のドリンクがあり、アルコールもあって驚きました。朝食のバイキングもいろいろと趣向が変わって飽きることもありませんでした。ごはんが柔らかめなのと、塊があり、ほぐし方が悪いのかと少し気になりました。事前に問合せの電話をした時も、現地でちょっとしたお願いにも即対応してくださって気持ちよかったです。駅からは少し離れますが、駐車場も近く、繁華街も近いので問題ないです。次回青森に来た時はまた利用したいです。,スーパーホテル青森,aomori,5,5,4,4,5,3,5
voteans_21193923,入った瞬間は部屋の狭さが気になりましたが、限られたスペースの中での家具の配置や収納の無駄のない配置に、逆に感動しました。おかげさまでストレスなく気持ちよく宿泊出来ました。テーブルも大きかったので仕事等で利用するにも良いホテルだと思います。天気が悪かったのでレンタル傘も助かりました。是非また利用させて下さい。ありがとうございました。,スーパーホテル青森,aomori,5,5,5,5,5,-,4
voteans_21168387,部屋は他のスーパーホテルと同じなので安心して泊まれますがフロントの対応や様子が他と比較していま一つでした。あと朝食のごはん・・もう少し良い米使って欲しいです。,スーパーホテル青森,aomori,3,3,4,3,3,3,2
voteans_21162804,度々家族で利用していますが、丁寧な対応に大変好感を持てます。立地も良く不便はありません。ビュッフェ式の朝食も我が家の家族にとっては充分です。滞在体験に重きを置かない方には必要十分だと思います。,スーパーホテル青森,aomori,5,4,5,5,5,3,4
voteans_21148568,初めての青森旅行で使いました。NTT前のバス停を使うと目の前の好立地。繁華街の中でもなく、とても落ち着いて過ごせました。近くのご飯も絶品！アメニティやドリンクサービス、モーニングも充実しており、大満足です！,スーパーホテル青森,aomori,5,5,4,5,5,3,5
voteans_21120339,中心街からはやや離れるものの、さすが！スーパーホテルクオリティ！無料の朝食ですが、とても美味しく頂けました。,スーパーホテル青森,aomori,4,4,3,4,4,3,4
voteans_21093353,清潔な部屋、女性には選べるアメニティ付ウェルカムバーが秀逸　お酒を買って部屋に持ち込まなくてよいので素晴らしい　酒の種類も豊富,スーパーホテル青森,aomori,4,5,4,4,3,3,3
voteans_21092347,大変良かったです。,スーパーホテル青森,aomori,5,5,5,5,5,5,5
voteans_21086430,部屋はとても清潔でしたがエアコンが水漏れのような音やキュルキュル？と音がして眠れませんでした朝食はとても美味しかったです,スーパーホテル青森,aomori,4,4,4,2,5,3,5
voteans_21075221,事前に駐車場の場所を調べて無かったので、苦労してしまいました。部屋含めて全体が新しく綺麗で心地良かったです。ただお値段はもう少し安いとありがたいのですが。。,スーパーホテル青森,aomori,4,4,4,5,4,3,4
voteans_21068151,夜のドリンクサービスは、とてもよかったです。青森の日本酒は最高においしかった。残念なのは、小学生くらいの子供が騒いでうるさかったこと。外国人の子供さんのほうがおとなしくドリンクを飲み、早々と去ったのが印象的。大人の時間を分かっている。,スーパーホテル青森,aomori,4,4,4,4,4,3,4
voteans_21064626,健康イオン水のおかげで、いつもホテルに泊まった日はゴワゴワする髪が、ツルツルまとまってました。お湯が柔らかくて心地よかったです。固定の長椅子は二人座れる広さではありますが、向かい合って広々と使いたかったので貸出に折りたたみの丸イスでもあれば良かったなと思いました。,スーパーホテル青森,aomori,4,5,4,4,4,3,3
voteans_21050985,翌日の仕事に近いところと思い利用いたしました。向かいにお弁当屋さんもあり、よかったです。とてもゆっくりできました。,スーパーホテル青森,aomori,4,4,4,4,3,3,4
voteans_21031073,立地が駅や繁華街が少し離れているため、飲み屋から歩きましたが、酔い覚ましにはなりました。ですが、レンタカーを停める駐車場はあったため、ホテルまでの移動や翌日のホテルから移動は困りませんでした。ホテル自体は綺麗で、部屋も寝るには十分に休めましたし、朝食も美味しく、少しおかわりさせて頂きました。何より枕が選べるのが良かったです。強いて言えば、ユニットバスだったので、大浴場好きの私としては大浴場があると最高でした。まぁ値段も安いので、不満では無いですが。また次回も使わせて頂きたいと思いました。,スーパーホテル青森,aomori,4,4,3,4,5,3,5
voteans_20989154,提携駐車場は立体駐車場でしたので、バイク乗りにはありがたかったです。繁華街近し。,スーパーホテル青森,aomori,4,4,5,4,4,-,-
voteans_20969780,朝食は普通に充実していて満足でしたが、食堂が少し狭く、グループの利用者が多いと直ぐに混雑して、ゆっくりと食事できない感じがありました。,スーパーホテル青森,aomori,4,4,3,3,3,3,4
voteans_20949711,春の３月末に宿泊し、良かったので　10月7、８日に宿泊しました。今回は、お部屋が良かったです。,スーパーホテル青森,aomori,5,5,4,5,5,3,5
voteans_20944446,立地上件は良く、外食するなもしやすかったし、朝食は美味しかったです。,スーパーホテル青森,aomori,4,3,4,3,3,2,4
voteans_20876230,２泊３日　おまかせタイプのお部屋にしました。夜ご飯を２夜とも　買って来て食べましたが　テーブルがこたつくらい大きくて　娘と並んで食べる事ができて　お部屋の中でも　リラックス出来て食事する事ができました。娘が試験でしたので　ストレスなく望む事ができました。ありがとうございました^_^,スーパーホテル青森,aomori,5,5,5,4,5,3,5
voteans_20821192,安定のお値段と、美味しい朝食でした。部屋がちょっと暗く室内で書き物をするのに目が疲れましたが、ゆっくりする事が出来ました。飲み物、お酒のサービス凄いと思います。,スーパーホテル青森,aomori,4,3,4,4,5,3,5
voteans_20808010,やはり大浴場があると良いと思います。,スーパーホテル青森,aomori,4,4,4,4,4,3,4
voteans_20787915,清掃してもらえていない日があった。,スーパーホテル青森,aomori,2,2,3,2,2,2,3
voteans_20780511,ウェルカムドリンクが飲み放題で最高でした！,スーパーホテル青森,aomori,4,4,4,3,4,3,3
voteans_20742216,駐車料金が意外に近くて無料なのが良かったです。お部屋もコンパクトで使いやすかったです。,スーパーホテル青森,aomori,4,4,4,3,3,3,4
voteans_20740404,全体的には気持ちよく過ごせたのですが、ロフトベッドのマットレスに髪の毛が落ちていたのだけが残念でした。掃除はたいへんなのかもしれませんが、髪の毛はなんとかしてほしかったです。,スーパーホテル青森,aomori,3,5,3,2,5,3,3
voteans_20723159,立地が良くて立体駐車場料金が無料なのが最大の魅力かと思います。部屋はお任せにしたところ、一人にはもったいない位の二段ベッド付きのお部屋でした。水道水が健康イオン水なのはありがたかったです。1点追わせてもらえれば、難点はユニットバスのトイレスペースが大柄な私には狭かったことくらいです。ウェルカムドリンクも満足、また利用させていただきたいです。,スーパーホテル青森,aomori,4,4,5,4,4,3,5
voteans_20701850,初めての宿泊でした。スタッフの方々は笑顔で親切で、こちらも笑顔になれました。夕食は外で済ませて来ましたが、戻ってからウェルカムを飲みながら楽しい時間を過ごせました。朝食も美味しくいただきました。とっても気持ちの良いホテルでした。また宿泊したいと話してました！ありがとうございました！！,スーパーホテル青森,aomori,5,5,5,4,5,3,4
voteans_20688525,チェックインの際、対応して下さった方が的確で親切、丁寧におもてなしをしてくれました。無料の朝食も品数もたくさんあり満足でした。,スーパーホテル青森,aomori,5,5,3,4,5,3,4
voteans_20682820,ウェルカムドリンクが15時チェックインからアルコールも含め用意されていました。カップが少し小さかったのが残念！また以前はホテルの1階がコンビニだったのに、ドミノピザなら変わってたのも残念でした。朝食は青森県産の食材もあり、とても美味しく頂きました。また利用させて頂きます。,スーパーホテル青森,aomori,4,4,4,4,4,3,4
voteans_20650873,お部屋お任せだったので、部屋に入るまで、ドキドキ1人でロフト付き部屋を満喫実は３年前にも同じホテル利用でしたが、印象は変わらずで部屋はとてもキレイ。アメニティも女性はイロイロ選べて楽しいし、枕も好みのを選べるのが良い,スーパーホテル青森,aomori,4,4,5,5,5,3,3
voteans_20629634,今回は、たまたまおすすめで出て来たので、予約させていただきました。県民割等、1人でしたがお安く泊まれたと思います。お隣の音やロック解除の音など気になることもありましたが、寝れないほどではなかったです。また青森方面に行くときは、利用したいと思いました。,スーパーホテル青森,aomori,4,4,5,4,4,4,3
voteans_20610161,駅から誓う手良かった。朝食がおいしかった。また利用します。ありがとうございました。,スーパーホテル青森,aomori,5,5,5,5,5,5,5
voteans_20584131,安価に反してきれいで対応も良く、期待以上だった。しいての難点は、フロントが２階で面倒なことと、駐車場が離れた提携先であること。ウエルカムドリンク・ギフト・朝食が付いてしかも地域クーポンももらえて、実質ひとり1500円で朝食付1泊できたことになる。フロントやスタッフも好感が持てる対応で、安すぎることに気が引ける程だった。,スーパーホテル青森,aomori,5,5,4,4,4,4,4
voteans_21293320,駅から徒歩5分ほどですが、近くに飲食店やバス停（新町一丁目）もあり、便利でした。キャリーケースを置く用の折り畳み式ミニテーブルがあると助かりました。（椅子で代用しました）お風呂は、徒歩10分ほどのまちなかおんせんで入ったので、評価なしとしています。チェックイン前に荷物を預けたら、部屋まで運んでくれていて、ありがたかったです。,ホテルサンルート青森,aomori,5,5,5,5,4,-,-
voteans_21289918,青森駅から近く、アクセスがとても良いです。フロントの対応も良く、リーズナブルな価格で満足度が高かったです。,ホテルサンルート青森,aomori,5,5,5,4,4,3,-
voteans_21285955,お任せシングルで予約した所とても広い部屋で驚きました。市街地の立地で夜、朝とも近隣のお店で食事でき、仕事で使うには十分です。また利用したいです。,ホテルサンルート青森,aomori,5,4,5,5,4,-,-
voteans_21280791,"4年ぶりに旅行を再開しました。宿泊代が高騰する中結構リーズナブルな価格で宿泊できました。逆に不安が有りましたが、サービス,設備,アメニティ等に一切不満はなく満足度は高かったです。衛生面にかなり気を配っており気持ちよく宿泊できました。なお、ユニットバスの水温調整がうまくできませんでした。",ホテルサンルート青森,aomori,5,4,5,5,4,4,-
voteans_21277302,暖房の音がカラカラしてて気になった。スタッフさんの対応は満足です。朝食バイキングもとてもおいしかったのでまた利用したいです。,ホテルサンルート青森,aomori,4,4,5,4,4,-,5
voteans_21276494,チェックイン前に荷物を預ける予定が、チェックイン手続きが事前に出来、荷物も部屋に入れていただけました。ほかのビジホではなかなかないサービスで、ありがたかったです。また、履歴があれば、チェックインの用紙もほぼ記入不要とのことで、手続きも楽ちんでした。部屋も広く、ダブルベッドで大の字で眠れました。,ホテルサンルート青森,aomori,4,4,3,4,4,3,-
voteans_21275248,1/27に利用しました。駐車場がアスパムの駐車場で少し遠かった以外は問題無く泊まる事が出来ました。今回初めて地下の居酒屋へ行きましたが、良い雰囲気でまた利用したいと思ってます。,ホテルサンルート青森,aomori,4,4,5,5,4,4,-
voteans_21270945,部屋が広く、とてものびのびできて快適でした。また、利用したいです。ありがとうございました。,ホテルサンルート青森,aomori,5,5,5,5,5,4,-
voteans_21270049,12/16に利用しました。和室でゆっくり休む事が出来て良かったです。また、青森泊の時には利用したいと思ってます。,ホテルサンルート青森,aomori,5,4,5,5,4,4,-
voteans_21265376,今回で3回目の宿泊となりますが、部屋もデラックスツインにを選んでいただき、バスルームとトイレが別部屋となっており、気兼ねなく入ることができました。特に朝食はホタテやモズクなど地元の食材も使われており、大変満足できるひな揃えでした。,ホテルサンルート青森,aomori,4,4,4,4,4,5,5
voteans_21261423,さすが安定のサンルート青森です。,ホテルサンルート青森,aomori,5,5,5,5,5,5,5
voteans_21258466,空調の振動が気になった。コスパ〇,ホテルサンルート青森,aomori,4,4,4,4,3,3,-
voteans_21243058,仕事帰りにお世話になりました。今回も広くて静かな環境の部屋にしてもらい大変満足です。ありがとうございました。,ホテルサンルート青森,aomori,5,4,5,5,5,4,-
voteans_21229836,敷地内の駐車所が少なく少し離れたところになってました場所柄しょうがないのかもしれませんが　冬は敷地内に欲しいですね朝食は美味しく頂きました,ホテルサンルート青森,aomori,4,4,4,4,3,4,5
voteans_21221111,立地は問題ないのですが、ホテル前駐車場の駐車可能台数が少なく遠くに停めることになりました、仕方がありませんが…。お部屋は歴史が感じられますが広めで、お風呂は若干狭いながらもリニューアルされていて快適に使用できました。また機会があれば、利用したいと思います。,ホテルサンルート青森,aomori,3,3,4,3,3,4,-
voteans_21217505,3日間お世話になりました。息子の受験で利用させていただきましたが、とても快適に過ごすことができました。お部屋の清掃もありがとうございました。近隣には飲食店もコンビニもあるので、夕食も困ることはありませんでした。また機会があれば是非利用したいです。,ホテルサンルート青森,aomori,5,5,5,5,5,5,5
voteans_21192541,ユニットバスに手すりがあり助かった。,ホテルサンルート青森,aomori,4,4,4,4,4,4,-
voteans_21152400,部屋の広さはコスパ以上です。大浴場、サウナが無いのが少し残念でした。,ホテルサンルート青森,aomori,4,3,4,5,3,2,4
voteans_21143609,フロントの対応や説明等丁寧で好感が持てました。残念なのは朝食メニュー。毎日ほぼ同じメニュー。多少ローテーション組む内容があるとありがたかった。連泊して感じたことなので単泊では問題ないでしょう。まして内容は良かったので。あと、シャワーヘッドが古く快適とは言えません。巷では多種多様の製品がでており、ある意味ブーム。肌当たりの良さや節水効果もあるよです。是非対応いただけるとありがたいです。,ホテルサンルート青森,aomori,3,4,4,3,3,3,2
voteans_21140966,満足,ホテルサンルート青森,aomori,4,2,5,3,2,3,2
voteans_21139372,インバウンドで宿泊費高騰の中、朝食付きの値段重視で今回初めての利用です。部屋の広さ申し分なし。快適でした。朝食は郷土食材有りで、最上階の展望と併せて大変満足。,ホテルサンルート青森,aomori,4,3,5,5,3,3,4
voteans_21136550,ホテルの店員さんの対応が皆親切で丁寧で有り難かったです。また出張で使わせて貰います。,ホテルサンルート青森,aomori,4,5,3,3,3,-,4
